instant,date,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_count,bln,cuaca,musim
29,2011-01-02,1,0,1,4,0,0,Weekend,2,0.46,0.4545,0.94,0.194,2,1,3,Jan,Cloudy,Spring
30,2011-01-02,1,0,1,6,0,0,Weekend,3,0.42,0.4242,0.77,0.2985,0,2,2,Jan,Light Snow,Spring
31,2011-01-02,1,0,1,7,0,0,Weekend,2,0.4,0.4091,0.76,0.194,0,1,1,Jan,Cloudy,Spring
32,2011-01-02,1,0,1,8,0,0,Weekend,3,0.4,0.4091,0.71,0.2239,0,8,8,Jan,Light Snow,Spring
33,2011-01-02,1,0,1,9,0,0,Weekend,2,0.38,0.3939,0.76,0.2239,1,19,20,Jan,Cloudy,Spring
34,2011-01-02,1,0,1,10,0,0,Weekend,2,0.36,0.3485,0.81,0.2239,7,46,53,Jan,Cloudy,Spring
35,2011-01-02,1,0,1,11,0,0,Weekend,2,0.36,0.3333,0.71,0.2537,16,54,70,Jan,Cloudy,Spring
36,2011-01-02,1,0,1,12,0,0,Weekend,2,0.36,0.3333,0.66,0.2985,20,73,93,Jan,Cloudy,Spring
37,2011-01-02,1,0,1,13,0,0,Weekend,2,0.36,0.3485,0.66,0.1343,11,64,75,Jan,Cloudy,Spring
38,2011-01-02,1,0,1,14,0,0,Weekend,3,0.36,0.3485,0.76,0.194,4,55,59,Jan,Light Snow,Spring
39,2011-01-02,1,0,1,15,0,0,Weekend,3,0.34,0.3333,0.81,0.1642,19,55,74,Jan,Light Snow,Spring
40,2011-01-02,1,0,1,16,0,0,Weekend,3,0.34,0.3333,0.71,0.1642,9,67,76,Jan,Light Snow,Spring
41,2011-01-02,1,0,1,17,0,0,Weekend,1,0.34,0.3333,0.57,0.194,7,58,65,Jan,Clear,Spring
42,2011-01-02,1,0,1,18,0,0,Weekend,2,0.36,0.3333,0.46,0.3284,10,43,53,Jan,Cloudy,Spring
43,2011-01-02,1,0,1,19,0,0,Weekend,1,0.32,0.2879,0.42,0.4478,1,29,30,Jan,Clear,Spring
44,2011-01-02,1,0,1,20,0,0,Weekend,1,0.3,0.2727,0.39,0.3582,5,17,22,Jan,Clear,Spring
45,2011-01-02,1,0,1,21,0,0,Weekend,1,0.26,0.2273,0.44,0.3284,11,20,31,Jan,Clear,Spring
46,2011-01-02,1,0,1,22,0,0,Weekend,1,0.24,0.2121,0.44,0.2985,0,9,9,Jan,Clear,Spring
47,2011-01-02,1,0,1,23,0,0,Weekend,1,0.22,0.2273,0.47,0.1642,0,8,8,Jan,Clear,Spring
48,2011-01-03,1,0,1,0,0,1,Weekday,1,0.22,0.197,0.44,0.3582,0,5,5,Jan,Clear,Spring
49,2011-01-03,1,0,1,1,0,1,Weekday,1,0.2,0.1667,0.44,0.4179,0,2,2,Jan,Clear,Spring
50,2011-01-03,1,0,1,4,0,1,Weekday,1,0.16,0.1364,0.47,0.3881,0,1,1,Jan,Clear,Spring
51,2011-01-03,1,0,1,5,0,1,Weekday,1,0.16,0.1364,0.47,0.2836,0,3,3,Jan,Clear,Spring
52,2011-01-03,1,0,1,6,0,1,Weekday,1,0.14,0.1061,0.5,0.3881,0,30,30,Jan,Clear,Spring
53,2011-01-03,1,0,1,7,0,1,Weekday,1,0.14,0.1364,0.5,0.194,1,63,64,Jan,Clear,Spring
54,2011-01-03,1,0,1,8,0,1,Weekday,1,0.14,0.1212,0.5,0.2836,1,153,154,Jan,Clear,Spring
55,2011-01-03,1,0,1,9,0,1,Weekday,1,0.16,0.1364,0.43,0.3881,7,81,88,Jan,Clear,Spring
56,2011-01-03,1,0,1,10,0,1,Weekday,1,0.18,0.1667,0.43,0.2537,11,33,44,Jan,Clear,Spring
57,2011-01-03,1,0,1,11,0,1,Weekday,1,0.2,0.1818,0.4,0.3284,10,41,51,Jan,Clear,Spring
58,2011-01-03,1,0,1,12,0,1,Weekday,1,0.22,0.2121,0.35,0.2985,13,48,61,Jan,Clear,Spring
59,2011-01-03,1,0,1,13,0,1,Weekday,1,0.24,0.2121,0.35,0.2836,8,53,61,Jan,Clear,Spring
60,2011-01-03,1,0,1,14,0,1,Weekday,1,0.26,0.2424,0.3,0.2836,11,66,77,Jan,Clear,Spring
61,2011-01-03,1,0,1,15,0,1,Weekday,1,0.26,0.2424,0.3,0.2537,14,58,72,Jan,Clear,Spring
62,2011-01-03,1,0,1,16,0,1,Weekday,1,0.26,0.2424,0.3,0.2537,9,67,76,Jan,Clear,Spring
63,2011-01-03,1,0,1,17,0,1,Weekday,1,0.24,0.2273,0.3,0.2239,11,146,157,Jan,Clear,Spring
64,2011-01-03,1,0,1,18,0,1,Weekday,1,0.24,0.2576,0.32,0.1045,9,148,157,Jan,Clear,Spring
65,2011-01-03,1,0,1,19,0,1,Weekday,1,0.2,0.2576,0.47,0.0,8,102,110,Jan,Clear,Spring
66,2011-01-03,1,0,1,20,0,1,Weekday,1,0.2,0.2273,0.47,0.1045,3,49,52,Jan,Clear,Spring
67,2011-01-03,1,0,1,21,0,1,Weekday,1,0.18,0.197,0.64,0.1343,3,49,52,Jan,Clear,Spring
68,2011-01-03,1,0,1,22,0,1,Weekday,1,0.14,0.1515,0.69,0.1343,0,20,20,Jan,Clear,Spring
69,2011-01-03,1,0,1,23,0,1,Weekday,1,0.18,0.2121,0.55,0.1045,1,11,12,Jan,Clear,Spring
70,2011-01-04,1,0,1,0,0,2,Weekday,1,0.16,0.1818,0.55,0.1045,0,5,5,Jan,Clear,Spring
71,2011-01-04,1,0,1,1,0,2,Weekday,1,0.16,0.1818,0.59,0.1045,0,2,2,Jan,Clear,Spring
72,2011-01-04,1,0,1,2,0,2,Weekday,1,0.14,0.1515,0.63,0.1343,0,1,1,Jan,Clear,Spring
73,2011-01-04,1,0,1,4,0,2,Weekday,1,0.14,0.1818,0.63,0.0896,0,2,2,Jan,Clear,Spring
74,2011-01-04,1,0,1,5,0,2,Weekday,1,0.12,0.1515,0.68,0.1045,0,4,4,Jan,Clear,Spring
75,2011-01-04,1,0,1,6,0,2,Weekday,1,0.12,0.1515,0.74,0.1045,0,36,36,Jan,Clear,Spring
76,2011-01-04,1,0,1,7,0,2,Weekday,1,0.12,0.1515,0.74,0.1343,2,92,94,Jan,Clear,Spring
77,2011-01-04,1,0,1,8,0,2,Weekday,1,0.14,0.1515,0.69,0.1642,2,177,179,Jan,Clear,Spring
78,2011-01-04,1,0,1,9,0,2,Weekday,1,0.16,0.1515,0.64,0.2239,2,98,100,Jan,Clear,Spring
79,2011-01-04,1,0,1,10,0,2,Weekday,2,0.16,0.1364,0.69,0.3284,5,37,42,Jan,Cloudy,Spring
80,2011-01-04,1,0,1,11,0,2,Weekday,1,0.22,0.2121,0.51,0.2985,7,50,57,Jan,Clear,Spring
81,2011-01-04,1,0,1,12,0,2,Weekday,1,0.22,0.2273,0.51,0.1642,12,66,78,Jan,Clear,Spring
82,2011-01-04,1,0,1,13,0,2,Weekday,1,0.24,0.2273,0.56,0.194,18,79,97,Jan,Clear,Spring
83,2011-01-04,1,0,1,14,0,2,Weekday,1,0.26,0.2576,0.52,0.2239,9,54,63,Jan,Clear,Spring
84,2011-01-04,1,0,1,15,0,2,Weekday,1,0.28,0.2727,0.52,0.2537,17,48,65,Jan,Clear,Spring
85,2011-01-04,1,0,1,16,0,2,Weekday,1,0.3,0.2879,0.49,0.2537,15,68,83,Jan,Clear,Spring
86,2011-01-04,1,0,1,17,0,2,Weekday,1,0.28,0.2727,0.48,0.2239,10,202,212,Jan,Clear,Spring
87,2011-01-04,1,0,1,18,0,2,Weekday,1,0.26,0.2576,0.48,0.194,3,179,182,Jan,Clear,Spring
88,2011-01-04,1,0,1,19,0,2,Weekday,1,0.24,0.2576,0.48,0.1045,2,110,112,Jan,Clear,Spring
89,2011-01-04,1,0,1,20,0,2,Weekday,1,0.24,0.2576,0.48,0.1045,1,53,54,Jan,Clear,Spring
90,2011-01-04,1,0,1,21,0,2,Weekday,1,0.22,0.2727,0.64,0.0,0,48,48,Jan,Clear,Spring
91,2011-01-04,1,0,1,22,0,2,Weekday,1,0.22,0.2576,0.64,0.0896,1,34,35,Jan,Clear,Spring
92,2011-01-04,1,0,1,23,0,2,Weekday,1,0.2,0.2273,0.69,0.0896,2,9,11,Jan,Clear,Spring
93,2011-01-05,1,0,1,0,0,3,Weekday,1,0.2,0.2576,0.64,0.0,0,6,6,Jan,Clear,Spring
94,2011-01-05,1,0,1,1,0,3,Weekday,1,0.16,0.197,0.74,0.0896,0,6,6,Jan,Clear,Spring
95,2011-01-05,1,0,1,2,0,3,Weekday,1,0.16,0.197,0.74,0.0896,0,2,2,Jan,Clear,Spring
96,2011-01-05,1,0,1,4,0,3,Weekday,1,0.24,0.2273,0.48,0.2239,0,2,2,Jan,Clear,Spring
97,2011-01-05,1,0,1,5,0,3,Weekday,1,0.22,0.2273,0.47,0.1642,0,3,3,Jan,Clear,Spring
98,2011-01-05,1,0,1,6,0,3,Weekday,1,0.2,0.197,0.47,0.2239,0,33,33,Jan,Clear,Spring
99,2011-01-05,1,0,1,7,0,3,Weekday,1,0.18,0.1818,0.43,0.194,1,87,88,Jan,Clear,Spring
100,2011-01-05,1,0,1,8,0,3,Weekday,1,0.2,0.1818,0.4,0.2985,3,192,195,Jan,Clear,Spring
101,2011-01-05,1,0,1,9,0,3,Weekday,1,0.22,0.197,0.37,0.3284,6,109,115,Jan,Clear,Spring
102,2011-01-05,1,0,1,10,0,3,Weekday,1,0.22,0.197,0.37,0.3284,4,53,57,Jan,Clear,Spring
103,2011-01-05,1,0,1,11,0,3,Weekday,1,0.26,0.2273,0.33,0.3284,12,34,46,Jan,Clear,Spring
104,2011-01-05,1,0,1,12,0,3,Weekday,1,0.26,0.2273,0.33,0.3284,5,74,79,Jan,Clear,Spring
105,2011-01-05,1,0,1,13,0,3,Weekday,1,0.28,0.2576,0.3,0.2985,6,65,71,Jan,Clear,Spring
106,2011-01-05,1,0,1,14,0,3,Weekday,1,0.3,0.2879,0.28,0.194,10,52,62,Jan,Clear,Spring
107,2011-01-05,1,0,1,15,0,3,Weekday,1,0.3,0.2879,0.28,0.194,7,55,62,Jan,Clear,Spring
108,2011-01-05,1,0,1,16,0,3,Weekday,1,0.3,0.3182,0.28,0.0896,4,85,89,Jan,Clear,Spring
109,2011-01-05,1,0,1,17,0,3,Weekday,1,0.24,0.2273,0.38,0.194,4,186,190,Jan,Clear,Spring
110,2011-01-05,1,0,1,18,0,3,Weekday,1,0.24,0.2424,0.38,0.1343,3,166,169,Jan,Clear,Spring
111,2011-01-05,1,0,1,19,0,3,Weekday,1,0.24,0.2576,0.38,0.1045,5,127,132,Jan,Clear,Spring
112,2011-01-05,1,0,1,20,0,3,Weekday,1,0.22,0.2273,0.47,0.1642,7,82,89,Jan,Clear,Spring
113,2011-01-05,1,0,1,21,0,3,Weekday,1,0.2,0.197,0.51,0.194,3,40,43,Jan,Clear,Spring
114,2011-01-05,1,0,1,22,0,3,Weekday,1,0.18,0.197,0.55,0.1343,1,41,42,Jan,Clear,Spring
115,2011-01-05,1,0,1,23,0,3,Weekday,1,0.2,0.2576,0.47,0.0,1,18,19,Jan,Clear,Spring
116,2011-01-06,1,0,1,0,0,4,Weekday,1,0.18,0.2424,0.55,0.0,0,11,11,Jan,Clear,Spring
117,2011-01-06,1,0,1,1,0,4,Weekday,1,0.16,0.2273,0.64,0.0,0,4,4,Jan,Clear,Spring
118,2011-01-06,1,0,1,2,0,4,Weekday,1,0.16,0.2273,0.64,0.0,0,2,2,Jan,Clear,Spring
119,2011-01-06,1,0,1,4,0,4,Weekday,2,0.16,0.197,0.64,0.0896,0,1,1,Jan,Cloudy,Spring
120,2011-01-06,1,0,1,5,0,4,Weekday,2,0.14,0.1818,0.69,0.0896,0,4,4,Jan,Cloudy,Spring
121,2011-01-06,1,0,1,6,0,4,Weekday,2,0.14,0.1667,0.63,0.1045,0,36,36,Jan,Cloudy,Spring
122,2011-01-06,1,0,1,7,0,4,Weekday,2,0.16,0.2273,0.59,0.0,0,95,95,Jan,Cloudy,Spring
123,2011-01-06,1,0,1,8,0,4,Weekday,1,0.16,0.2273,0.59,0.0,3,216,219,Jan,Clear,Spring
124,2011-01-06,1,0,1,9,0,4,Weekday,2,0.18,0.2424,0.51,0.0,6,116,122,Jan,Cloudy,Spring
125,2011-01-06,1,0,1,10,0,4,Weekday,1,0.2,0.2576,0.47,0.0,3,42,45,Jan,Clear,Spring
126,2011-01-06,1,0,1,11,0,4,Weekday,1,0.22,0.2576,0.44,0.0896,2,57,59,Jan,Clear,Spring
127,2011-01-06,1,0,1,12,0,4,Weekday,1,0.26,0.2879,0.35,0.0,6,78,84,Jan,Clear,Spring
128,2011-01-06,1,0,1,13,0,4,Weekday,1,0.26,0.2727,0.35,0.1045,12,55,67,Jan,Clear,Spring
129,2011-01-06,1,0,1,14,0,4,Weekday,1,0.28,0.2727,0.36,0.1642,11,59,70,Jan,Clear,Spring
130,2011-01-06,1,0,1,15,0,4,Weekday,1,0.28,0.2727,0.36,0.0,8,54,62,Jan,Clear,Spring
131,2011-01-06,1,0,1,16,0,4,Weekday,1,0.26,0.2576,0.38,0.1642,12,74,86,Jan,Clear,Spring
132,2011-01-06,1,0,1,17,0,4,Weekday,1,0.22,0.2273,0.51,0.1642,9,163,172,Jan,Clear,Spring
133,2011-01-06,1,0,1,18,0,4,Weekday,1,0.22,0.2273,0.51,0.1343,5,158,163,Jan,Clear,Spring
134,2011-01-06,1,0,1,19,0,4,Weekday,1,0.22,0.2576,0.55,0.0896,3,109,112,Jan,Clear,Spring
135,2011-01-06,1,0,1,20,0,4,Weekday,1,0.2,0.2121,0.51,0.1642,3,66,69,Jan,Clear,Spring
136,2011-01-06,1,0,1,21,0,4,Weekday,2,0.22,0.2121,0.55,0.2239,0,48,48,Jan,Cloudy,Spring
137,2011-01-06,1,0,1,22,0,4,Weekday,2,0.22,0.2121,0.51,0.2836,1,51,52,Jan,Cloudy,Spring
138,2011-01-06,1,0,1,23,0,4,Weekday,2,0.2,0.197,0.59,0.194,4,19,23,Jan,Cloudy,Spring
139,2011-01-07,1,0,1,0,0,5,Weekday,2,0.2,0.197,0.64,0.194,4,13,17,Jan,Cloudy,Spring
140,2011-01-07,1,0,1,1,0,5,Weekday,2,0.2,0.197,0.69,0.2239,2,5,7,Jan,Cloudy,Spring
141,2011-01-07,1,0,1,2,0,5,Weekday,2,0.2,0.197,0.69,0.2239,0,1,1,Jan,Cloudy,Spring
142,2011-01-07,1,0,1,4,0,5,Weekday,2,0.2,0.2121,0.69,0.1343,0,1,1,Jan,Cloudy,Spring
143,2011-01-07,1,0,1,5,0,5,Weekday,3,0.22,0.2727,0.55,0.0,0,5,5,Jan,Light Snow,Spring
144,2011-01-07,1,0,1,6,0,5,Weekday,2,0.2,0.2576,0.69,0.0,8,26,34,Jan,Cloudy,Spring
145,2011-01-07,1,0,1,7,0,5,Weekday,1,0.2,0.2121,0.69,0.1343,8,76,84,Jan,Clear,Spring
146,2011-01-07,1,0,1,8,0,5,Weekday,1,0.2,0.197,0.51,0.2537,20,190,210,Jan,Clear,Spring
147,2011-01-07,1,0,1,9,0,5,Weekday,1,0.2,0.1818,0.47,0.2985,9,125,134,Jan,Clear,Spring
148,2011-01-07,1,0,1,10,0,5,Weekday,1,0.22,0.197,0.37,0.3284,16,47,63,Jan,Clear,Spring
149,2011-01-07,1,0,1,11,0,5,Weekday,2,0.2,0.197,0.4,0.2239,19,48,67,Jan,Cloudy,Spring
150,2011-01-07,1,0,1,12,0,5,Weekday,2,0.2,0.197,0.37,0.2537,9,50,59,Jan,Cloudy,Spring
151,2011-01-07,1,0,1,13,0,5,Weekday,2,0.2,0.1818,0.37,0.2836,9,64,73,Jan,Cloudy,Spring
152,2011-01-07,1,0,1,14,0,5,Weekday,2,0.2,0.197,0.4,0.2537,7,43,50,Jan,Cloudy,Spring
153,2011-01-07,1,0,1,15,0,5,Weekday,2,0.2,0.2121,0.37,0.1642,9,63,72,Jan,Cloudy,Spring
154,2011-01-07,1,0,1,16,0,5,Weekday,2,0.2,0.2121,0.37,0.1642,5,82,87,Jan,Cloudy,Spring
155,2011-01-07,1,0,1,17,0,5,Weekday,2,0.2,0.2576,0.37,0.0,9,178,187,Jan,Cloudy,Spring
156,2011-01-07,1,0,1,18,0,5,Weekday,1,0.2,0.2273,0.4,0.0896,7,116,123,Jan,Clear,Spring
157,2011-01-07,1,0,1,19,0,5,Weekday,1,0.16,0.197,0.55,0.0896,3,92,95,Jan,Clear,Spring
158,2011-01-07,1,0,1,20,0,5,Weekday,1,0.18,0.2121,0.47,0.1045,1,50,51,Jan,Clear,Spring
159,2011-01-07,1,0,1,21,0,5,Weekday,1,0.18,0.197,0.47,0.1343,0,39,39,Jan,Clear,Spring
160,2011-01-07,1,0,1,22,0,5,Weekday,2,0.18,0.197,0.43,0.1642,2,34,36,Jan,Cloudy,Spring
161,2011-01-07,1,0,1,23,0,5,Weekday,2,0.18,0.197,0.51,0.1642,1,14,15,Jan,Cloudy,Spring
162,2011-01-08,1,0,1,0,0,6,Weekend,2,0.18,0.197,0.51,0.1642,1,24,25,Jan,Cloudy,Spring
163,2011-01-08,1,0,1,1,0,6,Weekend,2,0.18,0.2121,0.55,0.0896,1,15,16,Jan,Cloudy,Spring
164,2011-01-08,1,0,1,2,0,6,Weekend,2,0.18,0.2424,0.55,0.0,3,13,16,Jan,Cloudy,Spring
165,2011-01-08,1,0,1,3,0,6,Weekend,3,0.18,0.197,0.55,0.1642,0,7,7,Jan,Light Snow,Spring
166,2011-01-08,1,0,1,4,0,6,Weekend,3,0.18,0.197,0.55,0.1642,0,1,1,Jan,Light Snow,Spring
167,2011-01-08,1,0,1,5,0,6,Weekend,2,0.16,0.1667,0.74,0.1642,0,5,5,Jan,Cloudy,Spring
168,2011-01-08,1,0,1,6,0,6,Weekend,2,0.16,0.1667,0.74,0.1642,0,2,2,Jan,Cloudy,Spring
169,2011-01-08,1,0,1,7,0,6,Weekend,2,0.16,0.1818,0.74,0.1045,1,8,9,Jan,Cloudy,Spring
170,2011-01-08,1,0,1,8,0,6,Weekend,3,0.16,0.1818,0.93,0.1045,0,15,15,Jan,Light Snow,Spring
171,2011-01-08,1,0,1,9,0,6,Weekend,3,0.16,0.1818,0.93,0.1045,0,20,20,Jan,Light Snow,Spring
172,2011-01-08,1,0,1,10,0,6,Weekend,2,0.18,0.197,0.8,0.1642,5,56,61,Jan,Cloudy,Spring
173,2011-01-08,1,0,1,11,0,6,Weekend,2,0.2,0.1818,0.69,0.3881,2,60,62,Jan,Cloudy,Spring
174,2011-01-08,1,0,1,12,0,6,Weekend,2,0.2,0.1818,0.59,0.3582,8,90,98,Jan,Cloudy,Spring
175,2011-01-08,1,0,1,13,0,6,Weekend,1,0.2,0.1818,0.44,0.3284,7,95,102,Jan,Clear,Spring
176,2011-01-08,1,0,1,14,0,6,Weekend,1,0.2,0.1667,0.32,0.4925,12,83,95,Jan,Clear,Spring
177,2011-01-08,1,0,1,15,0,6,Weekend,1,0.2,0.1667,0.32,0.4478,5,69,74,Jan,Clear,Spring
178,2011-01-08,1,0,1,16,0,6,Weekend,1,0.18,0.1364,0.29,0.4478,8,68,76,Jan,Clear,Spring
179,2011-01-08,1,0,1,17,0,6,Weekend,1,0.16,0.1212,0.37,0.5522,5,64,69,Jan,Clear,Spring
180,2011-01-08,1,0,1,18,0,6,Weekend,1,0.14,0.1212,0.39,0.2985,3,52,55,Jan,Clear,Spring
181,2011-01-08,1,0,1,19,0,6,Weekend,1,0.14,0.1212,0.36,0.2537,4,26,30,Jan,Clear,Spring
182,2011-01-08,1,0,1,20,0,6,Weekend,1,0.12,0.1212,0.36,0.2537,0,28,28,Jan,Clear,Spring
183,2011-01-08,1,0,1,21,0,6,Weekend,1,0.12,0.1061,0.39,0.3582,2,35,37,Jan,Clear,Spring
184,2011-01-08,1,0,1,22,0,6,Weekend,1,0.12,0.1061,0.36,0.3881,1,33,34,Jan,Clear,Spring
185,2011-01-08,1,0,1,23,0,6,Weekend,1,0.1,0.0606,0.39,0.4478,0,22,22,Jan,Clear,Spring
186,2011-01-09,1,0,1,0,0,0,Weekend,1,0.1,0.0758,0.42,0.3881,1,24,25,Jan,Clear,Spring
187,2011-01-09,1,0,1,1,0,0,Weekend,1,0.1,0.0606,0.42,0.4627,0,12,12,Jan,Clear,Spring
188,2011-01-09,1,0,1,2,0,0,Weekend,1,0.1,0.0606,0.46,0.4627,0,11,11,Jan,Clear,Spring
189,2011-01-09,1,0,1,3,0,0,Weekend,1,0.1,0.0758,0.46,0.4179,0,4,4,Jan,Clear,Spring
190,2011-01-09,1,0,1,4,0,0,Weekend,1,0.08,0.0909,0.53,0.194,0,1,1,Jan,Clear,Spring
191,2011-01-09,1,0,1,5,0,0,Weekend,1,0.08,0.0909,0.53,0.194,0,1,1,Jan,Clear,Spring
192,2011-01-09,1,0,1,6,0,0,Weekend,1,0.1,0.0909,0.49,0.2836,0,1,1,Jan,Clear,Spring
193,2011-01-09,1,0,1,7,0,0,Weekend,1,0.08,0.0909,0.53,0.194,1,5,6,Jan,Clear,Spring
194,2011-01-09,1,0,1,8,0,0,Weekend,1,0.1,0.0909,0.49,0.2836,0,10,10,Jan,Clear,Spring
195,2011-01-09,1,0,1,9,0,0,Weekend,1,0.12,0.0758,0.46,0.5224,0,19,19,Jan,Clear,Spring
196,2011-01-09,1,0,1,10,0,0,Weekend,1,0.14,0.1061,0.43,0.3881,0,49,49,Jan,Clear,Spring
197,2011-01-09,1,0,1,11,0,0,Weekend,1,0.16,0.1212,0.4,0.5224,2,47,49,Jan,Clear,Spring
198,2011-01-09,1,0,1,12,0,0,Weekend,1,0.18,0.1364,0.37,0.4478,4,79,83,Jan,Clear,Spring
199,2011-01-09,1,0,1,13,0,0,Weekend,1,0.2,0.1667,0.34,0.4478,6,69,75,Jan,Clear,Spring
200,2011-01-09,1,0,1,14,0,0,Weekend,1,0.22,0.1818,0.32,0.4627,8,64,72,Jan,Clear,Spring
201,2011-01-09,1,0,1,15,0,0,Weekend,1,0.22,0.197,0.35,0.3582,5,77,82,Jan,Clear,Spring
202,2011-01-09,1,0,1,16,0,0,Weekend,1,0.2,0.1667,0.34,0.4478,13,79,92,Jan,Clear,Spring
203,2011-01-09,1,0,1,17,0,0,Weekend,1,0.18,0.1515,0.37,0.3881,3,59,62,Jan,Clear,Spring
204,2011-01-09,1,0,1,18,0,0,Weekend,1,0.16,0.1364,0.4,0.3284,4,44,48,Jan,Clear,Spring
205,2011-01-09,1,0,1,19,0,0,Weekend,1,0.16,0.1364,0.43,0.3284,1,40,41,Jan,Clear,Spring
206,2011-01-09,1,0,1,20,0,0,Weekend,1,0.14,0.1212,0.46,0.2537,0,38,38,Jan,Clear,Spring
207,2011-01-09,1,0,1,21,0,0,Weekend,1,0.14,0.1061,0.46,0.4179,1,19,20,Jan,Clear,Spring
208,2011-01-09,1,0,1,22,0,0,Weekend,1,0.14,0.1212,0.46,0.2985,5,10,15,Jan,Clear,Spring
209,2011-01-09,1,0,1,23,0,0,Weekend,1,0.12,0.1364,0.5,0.194,0,6,6,Jan,Clear,Spring
210,2011-01-10,1,0,1,0,0,1,Weekday,1,0.12,0.1212,0.5,0.2836,2,3,5,Jan,Clear,Spring
211,2011-01-10,1,0,1,1,0,1,Weekday,1,0.12,0.1212,0.5,0.2836,1,0,1,Jan,Clear,Spring
212,2011-01-10,1,0,1,2,0,1,Weekday,1,0.12,0.1212,0.5,0.2239,0,3,3,Jan,Clear,Spring
213,2011-01-10,1,0,1,3,0,1,Weekday,1,0.12,0.1212,0.5,0.2239,0,1,1,Jan,Clear,Spring
214,2011-01-10,1,0,1,4,0,1,Weekday,1,0.1,0.1212,0.54,0.1343,1,2,3,Jan,Clear,Spring
215,2011-01-10,1,0,1,5,0,1,Weekday,1,0.1,0.1061,0.54,0.2537,0,3,3,Jan,Clear,Spring
